dag,week,jaar,tijd,gem_intensiteit
Friday,38,2019,00:00,210.1290322580645
Friday,38,2019,01:00,129.48387096774192
Friday,38,2019,02:00,80.19354838709677
Friday,38,2019,03:00,75.6774193548387
Friday,38,2019,04:00,108.87096774193549
Friday,38,2019,05:00,279.6774193548387
Friday,38,2019,06:00,849.483870967742
Friday,38,2019,07:00,1273.516129032258
Friday,38,2019,08:00,1542.9032258064517
Friday,38,2019,09:00,1306.4516129032259
Friday,38,2019,10:00,1174.225806451613
Friday,38,2019,11:00,1191.9032258064517
Friday,38,2019,12:00,1269.0
Friday,38,2019,13:00,1309.6129032258063
Friday,38,2019,14:00,1386.967741935484
Friday,38,2019,15:00,1548.8387096774193
Friday,38,2019,16:00,1358.4193548387098
Friday,38,2019,17:00,1291.3548387096773
Friday,38,2019,18:00,1247.741935483871
Friday,38,2019,19:00,950.9032258064516
Friday,38,2019,20:00,737.8709677419355
Friday,38,2019,21:00,632.1290322580645
Friday,38,2019,22:00,598.516129032258
Friday,38,2019,23:00,500.2258064516129
Friday,38,2021,00:00,202.48387096774192
Friday,38,2021,01:00,109.93548387096774
Friday,38,2021,02:00,68.38709677419355
Friday,38,2021,03:00,69.61290322580645
Friday,38,2021,04:00,89.3225806451613
Friday,38,2021,05:00,252.8709677419355
Friday,38,2021,06:00,806.0322580645161
Friday,38,2021,07:00,1077.516129032258
Friday,38,2021,08:00,1419.4516129032259
Friday,38,2021,09:00,1202.8064516129032
Friday,38,2021,10:00,1117.4516129032259
Friday,38,2021,11:00,1165.516129032258
Friday,38,2021,12:00,1290.6129032258063
Friday,38,2021,13:00,1379.6774193548388
Friday,38,2021,14:00,1451.225806451613
Friday,38,2021,15:00,1525.9354838709678
Friday,38,2021,16:00,1438.8387096774193
Friday,38,2021,17:00,1452.7096774193549
Friday,38,2021,18:00,1273.483870967742
Friday,38,2021,19:00,975.0
Friday,38,2021,20:00,729.741935483871
Friday,38,2021,21:00,629.1612903225806
Friday,38,2021,22:00,603.0322580645161
Friday,38,2021,23:00,502.16129032258067
Friday,38,2022,00:00,180.96296296296296
Friday,38,2022,01:00,108.44444444444444
Friday,38,2022,02:00,77.5925925925926
Friday,38,2022,03:00,72.77777777777777
Friday,38,2022,04:00,91.11111111111111
Friday,38,2022,05:00,226.96296296296296
Friday,38,2022,06:00,714.8148148148148
Friday,38,2022,07:00,979.6296296296297
Friday,38,2022,08:00,1277.037037037037
Friday,38,2022,09:00,1041.0740740740741
Friday,38,2022,10:00,975.3333333333334
Friday,38,2022,11:00,1022.0370370370371
Friday,38,2022,12:00,1083.2592592592594
Friday,38,2022,13:00,1114.888888888889
Friday,38,2022,14:00,1233.1851851851852
Friday,38,2022,15:00,1343.4074074074074
Friday,38,2022,16:00,1329.888888888889
Friday,38,2022,17:00,1326.5925925925926
Friday,38,2022,18:00,1094.3703703703704
Friday,38,2022,19:00,828.5185185185185
Friday,38,2022,20:00,633.7407407407408
Friday,38,2022,21:00,536.5925925925926
Friday,38,2022,22:00,523.7407407407408
Friday,38,2022,23:00,498.6296296296296
Friday,38,2023,00:00,219.2258064516129
Friday,38,2023,01:00,109.45161290322581
Friday,38,2023,02:00,69.45161290322581
Friday,38,2023,03:00,62.45161290322581
Friday,38,2023,04:00,77.03225806451613
Friday,38,2023,05:00,196.38709677419354
Friday,38,2023,06:00,638.3548387096774
Friday,38,2023,07:00,903.4193548387096
Friday,38,2023,08:00,1095.6129032258063
Friday,38,2023,09:00,935.5806451612904
Friday,38,2023,10:00,930.7741935483871
Friday,38,2023,11:00,954.1935483870968
Friday,38,2023,12:00,1057.2903225806451
Friday,38,2023,13:00,1135.0967741935483
Friday,38,2023,14:00,1221.774193548387
Friday,38,2023,15:00,1261.5483870967741
Friday,38,2023,16:00,1216.225806451613
Friday,38,2023,17:00,1125.1612903225807
Friday,38,2023,18:00,985.7741935483871
Friday,38,2023,19:00,753.3225806451613
Friday,38,2023,20:00,574.0645161290323
Friday,38,2023,21:00,489.83870967741933
Friday,38,2023,22:00,434.80645161290323
Friday,38,2023,23:00,345.5483870967742
Friday,38,2024,00:00,225.03225806451613
Friday,38,2024,01:00,131.51612903225808
Friday,38,2024,02:00,91.3225806451613
Friday,38,2024,03:00,95.96774193548387
Friday,38,2024,04:00,118.90322580645162
Friday,38,2024,05:00,241.38709677419354
Friday,38,2024,06:00,702.1290322580645
Friday,38,2024,07:00,977.5806451612904
Friday,38,2024,08:00,1171.516129032258
Friday,38,2024,09:00,1024.3225806451612
Friday,38,2024,10:00,1009.2258064516129
Friday,38,2024,11:00,1025.1935483870968
Friday,38,2024,12:00,1110.516129032258
Friday,38,2024,13:00,1161.8709677419354
Friday,38,2024,14:00,1285.741935483871
Friday,38,2024,15:00,1321.5806451612902
Friday,38,2024,16:00,1274.3548387096773
Friday,38,2024,17:00,1257.3870967741937
Friday,38,2024,18:00,1076.3870967741937
Friday,38,2024,19:00,877.4516129032259
Friday,38,2024,20:00,709.2258064516129
Friday,38,2024,21:00,561.258064516129
Friday,38,2024,22:00,501.3225806451613
Friday,38,2024,23:00,403.48387096774195
Friday,39,2020,00:00,168.09677419354838
Friday,39,2020,01:00,95.7741935483871
Friday,39,2020,02:00,56.67741935483871
Friday,39,2020,03:00,50.32258064516129
Friday,39,2020,04:00,77.35483870967742
Friday,39,2020,05:00,227.41935483870967
Friday,39,2020,06:00,744.1612903225806
Friday,39,2020,07:00,1029.3870967741937
Friday,39,2020,08:00,1306.8709677419354
Friday,39,2020,09:00,1115.5483870967741
Friday,39,2020,10:00,1015.2258064516129
Friday,39,2020,11:00,1108.8064516129032
